,ID,default_payment_next_month
0,10178,0
1,5304,0
2,5187,0
3,14495,0
4,20444,0
5,17667,0
6,21211,0
7,7178,0
8,20783,0
9,24033,0
10,754,0
11,23732,0
12,6072,0
13,17662,0
14,5541,0
15,22697,0
16,29905,0
17,6695,0
18,12664,0
19,15392,0
20,309,0
21,16129,0
22,6324,0
23,23673,0
24,28889,0
25,17687,0
26,27129,0
27,8487,0
28,10304,0
29,14991,0
30,8380,0
31,17401,0
32,15805,0
33,17839,0
34,24324,0
35,5925,0
36,11137,0
37,9991,0
38,6622,0
39,17112,0
40,7694,0
41,23055,0
42,19684,0
43,26520,0
44,8633,0
45,15602,0
46,21244,0
47,9804,0
48,24276,0
49,11723,0
50,23656,1
51,9047,0
52,9246,0
53,650,0
54,4330,0
55,27006,0
56,6766,0
57,14481,0
58,18262,0
59,22076,0
60,24238,0
61,12731,0
62,2226,0
63,17380,0
64,22072,0
65,27390,0
66,19619,0
67,12919,0
68,6537,0
69,24342,0
70,772,0
71,12966,0
72,18832,0
73,9347,0
74,29171,0
75,18604,0
76,25368,0
77,14414,0
78,4515,0
79,27668,0
80,20039,0
81,28604,0
82,19283,0
83,29592,0
84,5952,0
85,14746,0
86,8135,0
87,936,0
88,15106,0
89,13717,0
90,15431,0
91,12176,0
92,26616,0
93,6585,0
94,13415,0
95,28033,0
96,18775,0
97,22414,0
98,13628,0
99,4437,0
100,14083,0
101,6745,0
102,11214,0
103,1200,0
104,24915,0
105,15317,0
106,25130,0
107,21497,0
108,2432,0
109,4312,0
110,3390,0
111,20785,0
112,12516,0
113,17228,0
114,1845,0
115,13834,0
116,2290,0
117,21988,0
118,10445,0
119,11991,0
120,6818,0
121,19525,0
122,12878,0
123,15762,0
124,21397,0
125,13127,0
126,25072,0
127,3227,0
128,7260,0
129,4366,0
130,2185,0
131,14132,0
132,10094,0
133,6815,0
134,10788,0
135,7364,0
136,28316,0
137,23427,0
138,21496,0
139,4802,0
140,23522,0
141,28206,0
142,21212,0
143,12017,0
144,3081,0
145,20225,0
146,23735,0
147,28396,0
148,12618,0
149,21897,0
150,26866,0
151,16713,0
152,3319,0
153,1177,0
154,3511,0
155,29192,0
156,3229,0
157,28167,0
158,17445,0
159,13853,0
160,26977,0
161,16572,0
162,4969,0
163,10276,0
164,18699,0
165,24230,0
166,14127,0
167,15285,0
168,9057,0
169,314,0
170,7726,0
171,5723,0
172,9072,0
173,14107,0
174,145,0
175,24423,0
176,22725,0
177,20076,0
178,8284,0
179,8913,0
180,6326,0
181,13918,0
182,2020,0
183,8805,0
184,18822,0
185,20055,0
186,1254,0
187,10785,0
188,18392,0
189,6679,0
